day,population,activities,time,time_in_minutes
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Second job,5:01,301
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years),Study,2:20,140
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), School or university,5:20,320
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Homework,1:26,86
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Free time study,1:46,106
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years),Household and family care,3:40,220
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Food management,1:10,70
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Household upkeep,1:04,64
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Making and care for textiles,0:59,59
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Gardening and pet care,1:03,63
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Construction and repairs,1:59,119
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Shopping and services (excluding online services),1:01,61
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Household management (excluding online services),0:33,33
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Childcare (less than 17 years) ,1:45,105
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Help to an adult household member ,1:02,62
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years),Voluntary work and meetings,1:52,112
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Organisational work ,2:13,133
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Informal help to other households,1:54,114
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years),Participatory activities,1:37,97
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years),Social life and entertainment  ,0:55,55
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Sociability,0:35,35
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Visiting and receiving visitors,1:13,73
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Culture,2:16,136
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Entertainment ,1:53,113
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Resting — Time out,0:28,28
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years),Sports and outdoor activities ,1:21,81
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Sports,1:21,81
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years),Outdoor activities ,1:37,97
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years),Hobbies and games,1:07,67
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Arts,0:58,58
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Collecting,,
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Computing,1:00,60
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Games,1:03,63
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years),Media,1:59,119
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Reading,0:49,49
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years)," TV, video and dvd",1:53,113
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years)," Listening to radio, music",0:25,25
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years),Travel,1:41,101
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Travel related to eating,0:29,29
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Travel to/from work,1:03,63
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Travel related to study,1:00,60
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Travel related to household care,0:58,58
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Travel related to voluntary work and meetings ,0:50,50
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Travel related to social life,0:47,47
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Travel related to sports,0:36,36
Year 2014_Monday til Friday,Two or more adults and at least one child (<18 years), Travel related to changing locality,0:30,30
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Personal care,10:58,658
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Sleep,8:13,493
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Eating,1:51,111
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Other personal care,0:57,57
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Employment,7:34,454
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Main job,7:44,464
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Job seeking,2:58,178
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Second job,3:36,216
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Study,2:44,164
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", School or university,2:50,170
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Homework,3:30,210
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Free time study,1:55,115
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Household and family care,2:56,176
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Food management,1:08,68
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Household upkeep,1:12,72
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Making and care for textiles,0:57,57
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Gardening and pet care,1:13,73
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Construction and repairs,1:12,72
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Shopping and services (excluding online services),1:12,72
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Household management (excluding online services),0:46,46
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Childcare (less than 17 years) ,,
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Help to an adult household member ,1:34,94
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Voluntary work and meetings,1:58,118
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Organisational work ,1:46,106
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Informal help to other households,1:16,76
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Participatory activities,3:47,227
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Social life and entertainment  ,1:09,69
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Sociability,0:38,38
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Visiting and receiving visitors,1:31,91
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Culture,1:59,119
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Entertainment ,1:34,94
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Resting — Time out,0:29,29
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Sports and outdoor activities ,1:32,92
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Sports,1:32,92
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Outdoor activities ,2:30,150
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Hobbies and games,1:24,84
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Arts,1:06,66
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Collecting,0:50,50
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Computing,1:20,80
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Games,0:52,52
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Media,2:29,149
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Reading,0:58,58
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)"," TV, video and dvd",2:21,141
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)"," Listening to radio, music",0:26,26
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)",Travel,1:38,98
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Travel related to eating,0:28,28
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Travel to/from work,1:07,67
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Travel related to study,0:51,51
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Travel related to household care,0:54,54
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Travel related to voluntary work and meetings ,0:46,46
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Travel related to social life,1:08,68
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Travel related to sports,0:34,34
Year 2014_Monday til Friday,"Two or more adults, no children (<18 years)", Travel related to changing locality,,
Year 2014_Monday til Friday,Population in employment,Personal care,10:33,633
Year 2014_Monday til Friday,Population in employment,Sleep,7:58,478
Year 2014_Monday til Friday,Population in employment,Eating,1:43,103
Year 2014_Monday til Friday,Population in employment,Other personal care,0:54,54
Year 2014_Monday til Friday,Population in employment,Employment,7:48,468
Year 2014_Monday til Friday,Population in employment, Main job,7:47,467
Year 2014_Monday til Friday,Population in employment, Job seeking,2:07,127
Year 2014_Monday til Friday,Population in employment, Second job,2:14,134
Year 2014_Monday til Friday,Population in employment,Study,2:02,122
Year 2014_Monday til Friday,Population in employment, School or university,3:33,213
Year 2014_Monday til Friday,Population in employment, Homework,1:41,101
Year 2014_Monday til Friday,Population in employment, Free time study,1:37,97
Year 2014_Monday til Friday,Population in employment,Household and family care,2:31,151
Year 2014_Monday til Friday,Population in employment, Food management,0:55,55
Year 2014_Monday til Friday,Population in employment, Household upkeep,0:55,55
Year 2014_Monday til Friday,Population in employment, Making and care for textiles,0:48,48
Year 2014_Monday til Friday,Population in employment, Gardening and pet care,0:59,59
Year 2014_Monday til Friday,Population in employment, Construction and repairs,1:48,108
Year 2014_Monday til Friday,Population in employment, Shopping and services (excluding online services),0:59,59
Year 2014_Monday til Friday,Population in employment, Household management (excluding online services),0:37,37
Year 2014_Monday til Friday,Population in employment, Childcare (less than 17 years) ,1:35,95
Year 2014_Monday til Friday,Population in employment, Help to an adult household member ,1:24,84
Year 2014_Monday til Friday,Population in employment,Voluntary work and meetings,1:53,113
Year 2014_Monday til Friday,Population in employment, Organisational work ,2:03,123
Year 2014_Monday til Friday,Population in employment, Informal help to other households,1:38,98
Year 2014_Monday til Friday,Population in employment,Participatory activities,1:45,105
Year 2014_Monday til Friday,Population in employment,Social life and entertainment  ,1:01,61
Year 2014_Monday til Friday,Population in employment, Sociability,0:35,35
Year 2014_Monday til Friday,Population in employment, Visiting and receiving visitors,1:19,79
Year 2014_Monday til Friday,Population in employment, Culture,2:01,121
Year 2014_Monday til Friday,Population in employment, Entertainment ,1:54,114
Year 2014_Monday til Friday,Population in employment, Resting — Time out,0:24,24
Year 2014_Monday til Friday,Population in employment,Sports and outdoor activities ,1:27,87
Year 2014_Monday til Friday,Population in employment, Sports,1:27,87
Year 2014_Monday til Friday,Population in employment,Outdoor activities ,1:41,101
Year 2014_Monday til Friday,Population in employment,Hobbies and games,1:13,73
Year 2014_Monday til Friday,Population in employment, Arts,1:17,77
Year 2014_Monday til Friday,Population in employment, Collecting,0:50,50
Year 2014_Monday til Friday,Population in employment, Computing,1:06,66
Year 2014_Monday til Friday,Population in employment, Games,1:02,62
Year 2014_Monday til Friday,Population in employment,Media,2:03,123
Year 2014_Monday til Friday,Population in employment, Reading,0:51,51
Year 2014_Monday til Friday,Population in employment," TV, video and dvd",1:56,116
Year 2014_Monday til Friday,Population in employment," Listening to radio, music",0:31,31
Year 2014_Monday til Friday,Population in employment,Travel,1:39,99
Year 2014_Monday til Friday,Population in employment, Travel related to eating,0:29,29
Year 2014_Monday til Friday,Population in employment, Travel to/from work,1:05,65
Year 2014_Monday til Friday,Population in employment, Travel related to study,0:33,33
Year 2014_Monday til Friday,Population in employment, Travel related to household care,0:48,48
Year 2014_Monday til Friday,Population in employment, Travel related to voluntary work and meetings ,0:43,43
Year 2014_Monday til Friday,Population in employment, Travel related to social life,0:52,52
Year 2014_Monday til Friday,Population in employment, Travel related to sports,0:35,35
Year 2014_Monday til Friday,Population in employment, Travel related to changing locality,0:30,30
Year 2014_Monday til Friday,"Unemployed, looking for a job",Personal care,12:01,721
Year 2014_Monday til Friday,"Unemployed, looking for a job",Sleep,9:02,542
Year 2014_Monday til Friday,"Unemployed, looking for a job",Eating,1:59,119
Year 2014_Monday til Friday,"Unemployed, looking for a job",Other personal care,1:05,65
Year 2014_Monday til Friday,"Unemployed, looking for a job",Employment,3:11,191
Year 2014_Monday til Friday,"Unemployed, looking for a job", Main job,1:10,70
Year 2014_Monday til Friday,"Unemployed, looking for a job", Job seeking,2:57,177
Year 2014_Monday til Friday,"Unemployed, looking for a job", Second job,3:20,200
Year 2014_Monday til Friday,"Unemployed, looking for a job",Study,2:18,138
Year 2014_Monday til Friday,"Unemployed, looking for a job", School or university,1:42,102
Year 2014_Monday til Friday,"Unemployed, looking for a job", Homework,0:35,35
Year 2014_Monday til Friday,"Unemployed, looking for a job", Free time study,2:07,127
Year 2014_Monday til Friday,"Unemployed, looking for a job",Household and family care,3:45,225
Year 2014_Monday til Friday,"Unemployed, looking for a job", Food management,1:20,80
Year 2014_Monday til Friday,"Unemployed, looking for a job", Household upkeep,1:19,79
Year 2014_Monday til Friday,"Unemployed, looking for a job", Making and care for textiles,0:45,45
Year 2014_Monday til Friday,"Unemployed, looking for a job", Gardening and pet care,2:33,153
Year 2014_Monday til Friday,"Unemployed, looking for a job", Construction and repairs,1:10,70
Year 2014_Monday til Friday,"Unemployed, looking for a job", Shopping and services (excluding online services),1:01,61
Year 2014_Monday til Friday,"Unemployed, looking for a job", Household management (excluding online services),0:41,41
Year 2014_Monday til Friday,"Unemployed, looking for a job", Childcare (less than 17 years) ,1:40,100
Year 2014_Monday til Friday,"Unemployed, looking for a job", Help to an adult household member ,0:50,50
Year 2014_Monday til Friday,"Unemployed, looking for a job",Voluntary work and meetings,2:24,144
Year 2014_Monday til Friday,"Unemployed, looking for a job", Organisational work ,3:45,225
Year 2014_Monday til Friday,"Unemployed, looking for a job", Informal help to other households,0:59,59
Year 2014_Monday til Friday,"Unemployed, looking for a job",Participatory activities,2:58,178
Year 2014_Monday til Friday,"Unemployed, looking for a job",Social life and entertainment  ,1:12,72
Year 2014_Monday til Friday,"Unemployed, looking for a job", Sociability,0:48,48
Year 2014_Monday til Friday,"Unemployed, looking for a job", Visiting and receiving visitors,1:20,80
Year 2014_Monday til Friday,"Unemployed, looking for a job", Culture,2:30,150
Year 2014_Monday til Friday,"Unemployed, looking for a job", Entertainment ,1:01,61
Year 2014_Monday til Friday,"Unemployed, looking for a job", Resting — Time out,0:50,50
Year 2014_Monday til Friday,"Unemployed, looking for a job",Sports and outdoor activities ,2:01,121
Year 2014_Monday til Friday,"Unemployed, looking for a job", Sports,2:01,121
Year 2014_Monday til Friday,"Unemployed, looking for a job",Outdoor activities ,,
Year 2014_Monday til Friday,"Unemployed, looking for a job",Hobbies and games,1:49,109
Year 2014_Monday til Friday,"Unemployed, looking for a job", Arts,2:44,164
Year 2014_Monday til Friday,"Unemployed, looking for a job", Collecting,,
Year 2014_Monday til Friday,"Unemployed, looking for a job", Computing,1:34,94
Year 2014_Monday til Friday,"Unemployed, looking for a job", Games,1:09,69
Year 2014_Monday til Friday,"Unemployed, looking for a job",Media,3:22,202
Year 2014_Monday til Friday,"Unemployed, looking for a job", Reading,1:15,75
Year 2014_Monday til Friday,"Unemployed, looking for a job"," TV, video and dvd",3:01,181
Year 2014_Monday til Friday,"Unemployed, looking for a job"," Listening to radio, music",0:33,33
Year 2014_Monday til Friday,"Unemployed, looking for a job",Travel,1:40,100
Year 2014_Monday til Friday,"Unemployed, looking for a job", Travel related to eating,0:46,46
Year 2014_Monday til Friday,"Unemployed, looking for a job", Travel to/from work,1:00,60
Year 2014_Monday til Friday,"Unemployed, looking for a job", Travel related to study,0:52,52
Year 2014_Monday til Friday,"Unemployed, looking for a job", Travel related to household care,1:17,77
Year 2014_Monday til Friday,"Unemployed, looking for a job", Travel related to voluntary work and meetings ,1:11,71
Year 2014_Monday til Friday,"Unemployed, looking for a job", Travel related to social life,1:17,77
Year 2014_Monday til Friday,"Unemployed, looking for a job", Travel related to sports,0:34,34
Year 2014_Monday til Friday,"Unemployed, looking for a job", Travel related to changing locality,,
Year 2014_Monday til Friday,Retired,Personal care,11:54,714
Year 2014_Monday til Friday,Retired,Sleep,8:52,532
Year 2014_Monday til Friday,Retired,Eating,2:01,121
Year 2014_Monday til Friday,Retired,Other personal care,1:01,61
Year 2014_Monday til Friday,Retired,Employment,3:03,183
Year 2014_Monday til Friday,Retired, Main job,4:40,280
Year 2014_Monday til Friday,Retired, Job seeking,,
Year 2014_Monday til Friday,Retired, Second job,2:53,173
Year 2014_Monday til Friday,Retired,Study,1:55,115
Year 2014_Monday til Friday,Retired, School or university,,
Year 2014_Monday til Friday,Retired, Homework,,
Year 2014_Monday til Friday,Retired, Free time study,1:55,115
Year 2014_Monday til Friday,Retired,Household and family care,4:02,242
Year 2014_Monday til Friday,Retired, Food management,1:14,74
Year 2014_Monday til Friday,Retired, Household upkeep,1:16,76
Year 2014_Monday til Friday,Retired, Making and care for textiles,1:02,62
Year 2014_Monday til Friday,Retired, Gardening and pet care,1:31,91
Year 2014_Monday til Friday,Retired, Construction and repairs,2:25,145
Year 2014_Monday til Friday,Retired, Shopping and services (excluding online services),1:13,73
Year 2014_Monday til Friday,Retired, Household management (excluding online services),0:50,50
Year 2014_Monday til Friday,Retired, Childcare (less than 17 years) ,2:24,144
Year 2014_Monday til Friday,Retired, Help to an adult household member ,1:51,111
Year 2014_Monday til Friday,Retired,Voluntary work and meetings,2:47,167
Year 2014_Monday til Friday,Retired, Organisational work ,3:06,186
Year 2014_Monday til Friday,Retired, Informal help to other households,2:29,149
Year 2014_Monday til Friday,Retired,Participatory activities,1:41,101
Year 2014_Monday til Friday,Retired,Social life and entertainment  ,1:10,70
Year 2014_Monday til Friday,Retired, Sociability,0:42,42
Year 2014_Monday til Friday,Retired, Visiting and receiving visitors,1:02,62
Year 2014_Monday til Friday,Retired, Culture,2:22,142
Year 2014_Monday til Friday,Retired, Entertainment ,1:10,70
Year 2014_Monday til Friday,Retired, Resting — Time out,0:32,32
Year 2014_Monday til Friday,Retired,Sports and outdoor activities ,2:03,123
Year 2014_Monday til Friday,Retired, Sports,1:51,111
Year 2014_Monday til Friday,Retired,Outdoor activities ,4:55,295
Year 2014_Monday til Friday,Retired,Hobbies and games,1:40,100
Year 2014_Monday til Friday,Retired, Arts,1:56,116
Year 2014_Monday til Friday,Retired, Collecting,,
Year 2014_Monday til Friday,Retired, Computing,1:36,96
Year 2014_Monday til Friday,Retired, Games,1:10,70
Year 2014_Monday til Friday,Retired,Media,3:57,237
Year 2014_Monday til Friday,Retired, Reading,1:05,65
Year 2014_Monday til Friday,Retired," TV, video and dvd",3:16,196
Year 2014_Monday til Friday,Retired," Listening to radio, music",0:29,29
Year 2014_Monday til Friday,Retired,Travel,1:28,88
Year 2014_Monday til Friday,Retired, Travel related to eating,0:39,39
Year 2014_Monday til Friday,Retired, Travel to/from work,1:16,76
Year 2014_Monday til Friday,Retired, Travel related to study,1:29,89
Year 2014_Monday til Friday,Retired, Travel related to household care,0:54,54
Year 2014_Monday til Friday,Retired, Travel related to voluntary work and meetings ,0:48,48
Year 2014_Monday til Friday,Retired, Travel related to social life,1:00,60
Year 2014_Monday til Friday,Retired, Travel related to sports,0:37,37
Year 2014_Monday til Friday,Retired, Travel related to changing locality,0:50,50
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Personal care,12:48,768
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Sleep,9:36,576
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Eating,2:03,123
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Other personal care,1:18,78
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Employment,2:00,120
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Main job,,
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Job seeking,0:30,30
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Second job,4:00,240
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Study,1:30,90
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, School or university,,
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Homework,1:30,90
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Free time study,,
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Household and family care,4:25,265
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Food management,1:39,99
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Household upkeep,1:11,71
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Making and care for textiles,1:04,64
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Gardening and pet care,1:24,84
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Construction and repairs,1:07,67
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Shopping and services (excluding online services),1:16,76
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Household management (excluding online services),0:58,58
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Childcare (less than 17 years) ,1:35,95
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Help to an adult household member ,1:59,119
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Voluntary work and meetings,3:39,219
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Organisational work ,,
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Informal help to other households,2:40,160
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Participatory activities,5:44,344
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Social life and entertainment  ,1:35,95
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Sociability,0:33,33
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Visiting and receiving visitors,1:08,68
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Culture,,
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Entertainment ,1:47,107
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Resting — Time out,1:02,62
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Sports and outdoor activities ,2:03,123
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Sports,2:05,125
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Outdoor activities ,1:30,90
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Hobbies and games,1:47,107
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Arts,1:24,84
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Collecting,,
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Computing,1:32,92
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Games,1:13,73
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Media,3:59,239
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Reading,1:17,77
Year 2014_Monday til Friday,Persons in incapacity for work or disabled," TV, video and dvd",3:27,207
Year 2014_Monday til Friday,Persons in incapacity for work or disabled," Listening to radio, music",0:40,40
Year 2014_Monday til Friday,Persons in incapacity for work or disabled,Travel,1:06,66
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Travel related to eating,0:30,30
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Travel to/from work,1:07,67
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Travel related to study,,
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Travel related to household care,1:01,61
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Travel related to voluntary work and meetings ,0:55,55
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Travel related to social life,0:50,50
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Travel related to sports,0:22,22
Year 2014_Monday til Friday,Persons in incapacity for work or disabled, Travel related to changing locality,,
Year 2014_Monday til Friday,Employed in own household,Personal care,11:33,693
Year 2014_Monday til Friday,Employed in own household,Sleep,8:43,523
Year 2014_Monday til Friday,Employed in own household,Eating,1:52,112
Year 2014_Monday til Friday,Employed in own household,Other personal care,0:59,59
Year 2014_Monday til Friday,Employed in own household,Employment,6:12,372
Year 2014_Monday til Friday,Employed in own household, Main job,0:20,20
Year 2014_Monday til Friday,Employed in own household, Job seeking,,
Year 2014_Monday til Friday,Employed in own household, Second job,6:09,369
Year 2014_Monday til Friday,Employed in own household,Study,1:58,118
Year 2014_Monday til Friday,Employed in own household, School or university,,
Year 2014_Monday til Friday,Employed in own household, Homework,,
Year 2014_Monday til Friday,Employed in own household, Free time study,1:58,118
Year 2014_Monday til Friday,Employed in own household,Household and family care,6:24,384
Year 2014_Monday til Friday,Employed in own household, Food management,1:55,115
Year 2014_Monday til Friday,Employed in own household, Household upkeep,1:33,93
Year 2014_Monday til Friday,Employed in own household, Making and care for textiles,1:31,91
Year 2014_Monday til Friday,Employed in own household, Gardening and pet care,1:49,109
Year 2014_Monday til Friday,Employed in own household, Construction and repairs,0:55,55
Year 2014_Monday til Friday,Employed in own household, Shopping and services (excluding online services),1:31,91
Year 2014_Monday til Friday,Employed in own household, Household management (excluding online services),0:56,56
Year 2014_Monday til Friday,Employed in own household, Childcare (less than 17 years) ,2:39,159
Year 2014_Monday til Friday,Employed in own household, Help to an adult household member ,0:40,40
Year 2014_Monday til Friday,Employed in own household,Voluntary work and meetings,2:01,121
Year 2014_Monday til Friday,Employed in own household, Organisational work ,2:58,178
Year 2014_Monday til Friday,Employed in own household, Informal help to other households,1:48,108
Year 2014_Monday til Friday,Employed in own household,Participatory activities,1:59,119
Year 2014_Monday til Friday,Employed in own household,Social life and entertainment  ,1:07,67
Year 2014_Monday til Friday,Employed in own household, Sociability,0:45,45
Year 2014_Monday til Friday,Employed in own household, Visiting and receiving visitors,1:05,65
Year 2014_Monday til Friday,Employed in own household, Culture,1:30,90
Year 2014_Monday til Friday,Employed in own household, Entertainment ,1:15,75
Year 2014_Monday til Friday,Employed in own household, Resting — Time out,0:28,28
Year 2014_Monday til Friday,Employed in own household,Sports and outdoor activities ,1:19,79
Year 2014_Monday til Friday,Employed in own household, Sports,1:16,76
Year 2014_Monday til Friday,Employed in own household,Outdoor activities ,3:20,200
Year 2014_Monday til Friday,Employed in own household,Hobbies and games,1:22,82
Year 2014_Monday til Friday,Employed in own household, Arts,1:27,87
Year 2014_Monday til Friday,Employed in own household, Collecting,,
Year 2014_Monday til Friday,Employed in own household, Computing,1:15,75
Year 2014_Monday til Friday,Employed in own household, Games,0:55,55
Year 2014_Monday til Friday,Employed in own household,Media,2:46,166
Year 2014_Monday til Friday,Employed in own household, Reading,0:49,49
Year 2014_Monday til Friday,Employed in own household," TV, video and dvd",2:33,153
Year 2014_Monday til Friday,Employed in own household," Listening to radio, music",0:14,14
Year 2014_Monday til Friday,Employed in own household,Travel,1:44,104
Year 2014_Monday til Friday,Employed in own household, Travel related to eating,0:26,26
Year 2014_Monday til Friday,Employed in own household, Travel to/from work,0:56,56
Year 2014_Monday til Friday,Employed in own household, Travel related to study,2:10,130
Year 2014_Monday til Friday,Employed in own household, Travel related to household care,1:25,85
Year 2014_Monday til Friday,Employed in own household, Travel related to voluntary work and meetings ,0:59,59
Year 2014_Monday til Friday,Employed in own household, Travel related to social life,0:58,58
Year 2014_Monday til Friday,Employed in own household, Travel related to sports,0:34,34
Year 2014_Monday til Friday,Employed in own household, Travel related to changing locality,,
Year 2014_Monday til Friday,Students,Personal care,11:49,709
Year 2014_Monday til Friday,Students,Sleep,9:11,551
Year 2014_Monday til Friday,Students,Eating,1:44,104
Year 2014_Monday til Friday,Students,Other personal care,0:55,55
